year,direction_ferme,total_value,total_relative,total_slope,total_reg,total_relative,total_peace_reg_memory,total_peace_reg_no_memory,total_avg_war_loss_memory,total_avg_war_loss_no_memory,imports_value,imports_relative,imports_slope,imports_reg,imports_relative,imports_peace_reg_memory,imports_peace_reg_no_memory,imports_avg_war_loss_memory,imports_avg_war_loss_no_memory,exports_value,exports_relative,exports_slope,exports_reg,exports_relative,exports_peace_reg_memory,exports_peace_reg_no_memory,exports_avg_war_loss_memory,exports_avg_war_loss_no_memory,total_no_colonial_product_value,total_no_colonial_product_relative,total_no_colonial_product_slope,total_no_colonial_product_reg,total_no_colonial_product_relative,total_no_colonial_product_peace_reg_memory,total_no_colonial_product_peace_reg_no_memory,total_no_colonial_product_avg_war_loss_memory,total_no_colonial_product_avg_war_loss_no_memory,total_no_colonial_trade_value,total_no_colonial_trade_relative,total_no_colonial_trade_slope,total_no_colonial_trade_reg,total_no_colonial_trade_relative,total_no_colonial_trade_peace_reg_memory,total_no_colonial_trade_peace_reg_no_memory,total_no_colonial_trade_avg_war_loss_memory,total_no_colonial_trade_avg_war_loss_no_memory,imports_no_colonial_product_value,imports_no_colonial_product_relative,imports_no_colonial_product_slope,imports_no_colonial_product_reg,imports_no_colonial_product_relative,imports_no_colonial_product_peace_reg_memory,imports_no_colonial_product_peace_reg_no_memory,imports_no_colonial_product_avg_war_loss_memory,imports_no_colonial_product_avg_war_loss_no_memory,exports_no_colonial_product_value,exports_no_colonial_product_relative,exports_no_colonial_product_slope,exports_no_colonial_product_reg,exports_no_colonial_product_relative,exports_no_colonial_product_peace_reg_memory,exports_no_colonial_product_peace_reg_no_memory,exports_no_colonial_product_avg_war_loss_memory,exports_no_colonial_product_avg_war_loss_no_memory,imports_no_colonial_trade_value,imports_no_colonial_trade_relative,imports_no_colonial_trade_slope,imports_no_colonial_trade_reg,imports_no_colonial_trade_relative,imports_no_colonial_trade_peace_reg_memory,imports_no_colonial_trade_peace_reg_no_memory,imports_no_colonial_trade_avg_war_loss_memory,imports_no_colonial_trade_avg_war_loss_no_memory,exports_no_colonial_trade_value,exports_no_colonial_trade_relative,exports_no_colonial_trade_slope,exports_no_colonial_trade_reg,exports_no_colonial_trade_relative,exports_no_colonial_trade_peace_reg_memory,exports_no_colonial_trade_peace_reg_no_memory,exports_no_colonial_trade_avg_war_loss_memory,exports_no_colonial_trade_avg_war_loss_no_memory
1779,Bayonne,24440115.709688194,0.055153574354865204,0.1,18308335.79209495,0.055153574354865204,14677210.04630995,10218669.187906394,22.6%,40.3%,11005466.090276565,0.05286974700491427,0.3,6783485.40819015,0.05286974700491427,5244525.726529546,4340950.01493755,13.4%,23.8%,13434649.61941163,0.05717686596019539,-0.4,10924798.504557459,0.05717686596019539,9327826.251669448,6028136.249749856,29.2%,49.7%,23649179.761292316,,0.3,16798934.586122863,,13399251.833242377,9438429.736202402,31.5%,49.0%,20570532.67535213,,0.5,11605369.189742966,,8815320.584960494,7501415.967752952,29.0%,37.4%,10447293.337411065,,0.4,5803789.687281276,,4401068.014488274,3823247.33968018,28.9%,36.9%,13201886.42388125,,0.2,10676801.997788787,,8953284.651384214,5728265.0483642,31.3%,52.7%,10285266.337676065,,0.5,5742818.582228176,,4383535.120441512,3853764.340888164,30.1%,37.3%,10285266.337676065,,0.5,5802684.594871492,,4407660.292480239,3750707.9838764425,29.0%,37.4%
1779,La Rochelle,8152645.954763791,0.018397931098039486,-0.7,12762704.461470867,0.018397931098039486,14323756.194300553,28147150.95118706,47.4%,42.5%,4113823.07535381,0.01976261463465821,-0.5,5808546.650742046,0.01976261463465821,6335685.44415351,10756459.339887476,149.9%,144.1%,4038822.87940998,0.017188928699661037,-0.8,6963514.76251986,0.017188928699661037,8013877.790099635,14864717.366910376,-0.4%,-1.6%,5463128.08123706,,-1.3,8827972.741297798,,10312704.610043915,25852491.17013149,44.1%,34.1%,3686881.1497998,,1.8,5634418.352002524,,6710862.368519427,24473648.652830258,8.1%,-17.7%,2622218.27422905,,-1.0,3546487.240091202,,3978499.0568799167,9746608.348580029,99.7%,86.6%,2840909.80700801,,-1.4,5242758.381385613,,6194336.009043501,14465672.838686738,7.4%,2.2%,1843440.5748999,,1.8,2774092.568875658,,3198763.8967582476,11293234.853182662,9.3%,-17.2%,1843440.5748999,,1.8,2817209.1760012666,,3355431.184259737,12236824.326415107,8.1%,-17.7%
1746,Marseille,73432842.22452977,0.24564045206185894,1.1,105740316.32126592,0.24564045206185894,149886782.61053583,149886782.61053583,-39.5%,-30.6%,32880300.4610187,0.26918058675083567,1.8,50487996.95752178,0.26918058675083567,77198707.8360006,77198707.8360006,-40.0%,-29.8%,40552541.76351107,0.22937629922717628,0.3,54074393.506649576,0.22937629922717628,67995352.83097889,67995352.83097889,-41.6%,-33.6%,67484302.60745625,,0.9,93120785.63483693,,134610331.17076057,134610331.17076057,-38.2%,-27.0%,58479464.72048732,,1.5,87441968.88339737,,125815876.82497229,125815876.82497229,-35.9%,-21.0%,29651222.16124041,,1.6,44626809.13993788,,67234470.9706401,67234470.9706401,-38.0%,-24.8%,37833080.446215846,,0.1,47293481.388158776,,62024701.37928923,62024701.37928923,-40.0%,-29.9%,29239732.36024366,,1.5,43130488.144232534,,57523042.87762122,57523042.87762122,-35.4%,-19.2%,29239732.36024366,,1.5,43720984.4416986,,62907938.412486024,62907938.412486024,-35.9%,-21.0%
1746,Rouen,,0.0,2.5,36198750.84574895,0.0,,,30.0%,25.3%,,0.0,3.3,18268549.867503464,0.0,,,53.9%,47.8%,,0.0,1.3,18709626.074016966,0.0,,,6.6%,3.6%,,,2.0,27973283.08097356,,,,97.5%,93.3%,,,3.1,21397064.285400935,,,,157.2%,145.3%,,,3.0,13862759.80819415,,,,126.8%,119.7%,,,0.1,15283358.900735278,,,,71.2%,70.8%,,,3.1,10698532.142700525,,,,157.2%,145.3%,,,3.1,10698532.142700525,,,,157.2%,145.3%
1746,Bordeaux,35852053.148200236,0.119928825793534,3.7,42255929.35573394,0.119928825793534,112373873.33652481,112373873.33652481,-49.2%,-57.2%,11962451.279120864,0.09793279286208428,4.2,14809561.344149902,0.09793279286208428,31876846.491373897,31876846.491373897,-38.5%,-53.8%,23889601.86907937,0.1351261407656244,3.2,27730470.113521285,0.1351261407656244,84725761.12460697,84725761.12460697,-56.9%,-60.6%,23487910.349078435,,2.2,28249197.20887268,,76833917.0087485,76833917.0087485,-53.2%,-55.5%,10446944.02585541,,3.0,10472405.522071678,,41541618.25833723,41541618.25833723,-46.2%,-38.5%,6600125.512250955,,2.9,7958857.104199665,,17352324.954885703,17352324.954885703,-47.7%,-40.4%,16887784.83682748,,1.9,20126707.99289686,,61169366.47667411,61169366.47667411,-53.5%,-55.1%,5223472.012927705,,3.0,5329689.63594685,,20103809.455090284,20103809.455090284,-47.0%,-41.8%,5223472.012927705,,3.0,5236202.761035866,,20770809.129166212,20770809.129166212,-46.2%,-38.5%
1746,Nantes,29253335.959653705,0.09785543432290571,1.2,26579791.19934656,0.09785543432290571,48956641.75424564,48956641.75424564,-41.9%,-38.6%,8183454.363562834,0.06699534421359975,1.1,11644766.382269235,0.06699534421359975,40967797.25016963,40967797.25016963,-48.6%,-46.3%,21069881.59609087,0.11917702949053509,0.6,14441323.96408914,0.11917702949053509,14719743.321885489,14719743.321885489,-24.4%,13.7%,20173608.978707165,,0.6,17484420.97572012,,33212822.243591122,33212822.243591122,-23.1%,6.9%,5517820.611745158,,-0.2,9681403.972683586,,108645032.73977771,108645032.73977771,-30.2%,53.9%,4332129.955432769,,0.0,6824757.450388859,,36188302.96708259,36188302.96708259,-34.6%,31.5%,15841479.023274396,,0.6,9641545.700837487,,9121362.394860702,9121362.394860702,-6.7%,42.0%,2758910.305872579,,-0.1,4832644.395439835,,54322516.36988566,54322516.36988566,-31.5%,56.8%,2758910.305872579,,-0.2,4840701.986341792,,54322516.36988566,54322516.36988566,-30.2%,53.9%
1746,Bayonne,,0.0,0.1,17730256.924856924,0.0,,,22.6%,40.3%,,0.0,0.3,6200177.377104885,0.0,,,13.4%,23.8%,19382859.430333726,0.10963476939369013,-0.4,12474773.75744219,0.10963476939369013,,,29.2%,49.7%,,,0.3,15077323.014024373,,,,31.5%,49.0%,,,0.5,9814858.628905015,,,,29.0%,37.4%,,,0.4,5098209.653013289,,,,28.9%,36.9%,12685509.671766309,,0.2,10155452.65648064,,,,31.3%,52.7%,,,0.5,4922819.090698657,,,,30.1%,37.3%,,,0.5,4907429.314452516,,,,29.0%,37.4%
1746,La Rochelle,21321328.080479153,0.07132204759600864,-0.7,16259489.519975789,0.07132204759600864,7664715.944905764,7664715.944905764,47.4%,42.5%,9353645.77615657,0.0765753299995025,-0.5,6919984.342631898,0.0765753299995025,1403565.9917032623,1403565.9917032623,149.9%,144.1%,11967682.30432258,0.06769249368635397,-0.8,9146746.493451513,0.06769249368635397,9032916.010519791,9032916.010519791,-0.4%,-1.6%,13829966.50206216,,-1.3,13433671.32679489,,6174490.565571938,6174490.565571938,44.1%,34.1%,2027781.73072188,,1.8,3066604.17893487,,1190667.370638581,1190667.370638581,8.1%,-17.7%,4265938.24099594,,-1.0,4872468.5006082365,,974701.3294551437,974701.3294551437,99.7%,86.6%,9564028.26106622,,-1.4,8212007.069663957,,7367941.284550942,7367941.284550942,7.4%,2.2%,1013890.86536094,,1.8,1519060.843667978,,595333.6853192893,595333.6853192893,9.3%,-17.2%,1013890.86536094,,1.8,1533302.0894674375,,595333.6853192893,595333.6853192893,8.1%,-17.7%
1745,Marseille,78061061.12713283,0.23861453981428116,1.1,104550444.72581685,0.23861453981428116,142263813.640281,142263813.640281,-39.5%,-30.6%,35635165.03908121,0.24916357388115837,1.8,49587531.6205529,0.24916357388115837,71359559.20284958,71359559.20284958,-40.0%,-29.8%,42425896.08805162,0.23042051933614274,0.3,53924923.27790339,0.23042051933614274,66773055.283784635,66773055.283784635,-41.6%,-33.6%,70453930.43532729,,0.9,92291942.77212091,,126210843.43881693,126210843.43881693,-38.2%,-27.0%,61039145.4265734,,1.5,86164535.03832118,,116627186.09087758,116627186.09087758,-35.9%,-21.0%,30833885.41360291,,1.6,43918868.14109158,,61941297.896024756,61941297.896024756,-38.0%,-24.8%,39620045.02172439,,0.1,47260777.27722334,,59811182.7113564,59811182.7113564,-40.0%,-29.9%,30519572.7132867,,1.5,42471795.61319676,,54008006.00871136,54008006.00871136,-35.4%,-19.2%,30519572.7132867,,1.5,43082267.519160666,,58313593.04543868,58313593.04543868,-35.9%,-21.0%
1745,Rouen,,0.0,2.5,35290331.77537218,0.0,,,30.0%,25.3%,,0.0,3.3,17671568.890882663,0.0,,,53.9%,47.8%,,0.0,1.3,18475039.748543214,0.0,,,6.6%,3.6%,,,2.0,27422026.771076854,,,,97.5%,93.3%,,,3.1,20740766.21326904,,,,157.2%,145.3%,,,3.0,13449118.894675491,,,,126.8%,119.7%,,,0.1,15266751.446439963,,,,71.2%,70.8%,,,3.1,10370383.106634574,,,,157.2%,145.3%,,,3.1,10370383.106634574,,,,157.2%,145.3%
1745,Bordeaux,37745629.06151003,0.1153796243410557,3.7,40718414.15256343,0.1153796243410557,92324456.06549062,92324456.06549062,-49.2%,-57.2%,17239608.62123867,0.12054055289681936,4.2,14206686.348177213,0.12054055289681936,28139990.07261765,28139990.07261765,-38.5%,-53.8%,20506020.44027135,0.11137084457941679,3.2,26865458.954643883,0.11137084457941679,66242403.712921284,66242403.712921284,-56.9%,-60.6%,21657644.99917772,,2.2,27624204.303609725,,62181209.71215899,62181209.71215899,-53.2%,-55.5%,8627111.45294934,,3.0,10165473.171481203,,30899499.35688929,30899499.35688929,-46.2%,-38.5%,7023151.47621392,,2.9,7729483.797608786,,15163705.527893873,15163705.527893873,-47.7%,-40.4%,14634493.5229638,,1.9,19750046.45586212,,47837542.50019447,47837542.50019447,-53.5%,-55.1%,4313555.72647467,,3.0,5169857.268447211,,15199661.614636486,15199661.614636486,-47.0%,-41.8%,4313555.72647467,,3.0,5082736.585740664,,15449749.67844286,15449749.67844286,-46.2%,-38.5%
1745,Nantes,24058836.94309482,0.07354227860538251,1.2,26267985.803340096,0.07354227860538251,48784815.275516964,48784815.275516964,-41.9%,-38.6%,8151658.005209524,0.056996964638930364,1.1,11520264.991821565,0.056996964638930364,37014119.19466761,37014119.19466761,-48.6%,-46.3%,15907178.937885296,0.0863939426154572,0.6,14354181.242590673,0.0863939426154572,15988114.412381554,15988114.412381554,-24.4%,13.7%,10849648.965097541,,0.6,17387834.70050479,,32692221.746542986,32692221.746542986,-23.1%,6.9%,4835974.115174204,,-0.2,9700679.02539751,,76080470.33659746,76080470.33659746,-30.2%,53.9%,3581259.417721302,,0.0,6823205.435059243,,29858154.607479136,29858154.607479136,-34.6%,31.5%,7268389.54737624,,0.6,9582619.326104969,,10058253.92665703,10058253.92665703,-6.7%,42.0%,2417987.057587102,,-0.1,4839810.376274385,,38040235.1682965,38040235.1682965,-31.5%,56.8%,2417987.057587102,,-0.2,4850339.512698745,,38040235.1682965,38040235.1682965,-30.2%,53.9%
1745,Bayonne,,0.0,0.1,17713027.272906434,0.0,,,22.6%,40.3%,,0.0,0.3,6183307.115005229,0.0,,,13.4%,23.8%,,0.0,-0.4,12525028.295058211,0.0,,,29.2%,49.7%,,,0.3,15028003.399864238,,,,31.5%,49.0%,,,0.5,9765146.163203306,,,,29.0%,37.4%,,,0.4,5078223.523384173,,,,28.9%,36.9%,,,0.2,10140058.028254181,,,,31.3%,52.7%,,,0.5,4899889.2431644155,,,,30.1%,37.3%,,,0.5,4882573.081601653,,,,29.0%,37.4%
1745,La Rochelle,,0.0,-0.7,16379238.251932286,0.0,8962505.798370654,8962505.798370654,47.4%,42.5%,,0.0,-0.5,6956796.225198776,0.0,1939637.6990566887,1939637.6990566887,149.9%,144.1%,,0.0,-0.8,9222648.932210196,0.0,9159080.353659,9159080.353659,-0.4%,-1.6%,,,-1.3,13605671.56837739,,7287451.259583972,7287451.259583972,44.1%,34.1%,,,1.8,3010592.14499816,,1541042.0276513456,1541042.0276513456,8.1%,-17.7%,,,-1.0,4919595.125958445,,1377174.681624799,1377174.681624799,99.7%,86.6%,,,-1.4,8324440.550956841,,7608560.7243408635,7608560.7243408635,7.4%,2.2%,,,1.8,1491590.2625589005,,770521.0138256714,770521.0138256714,9.3%,-17.2%,,,1.8,1505296.0724990934,,770521.0138256714,770521.0138256714,8.1%,-17.7%
1752,Marseille,152649217.70409423,0.27784006926757554,1.1,113169378.20804721,0.27784006926757554,,,-39.5%,-30.6%,72536829.71123931,0.2851612616381192,1.8,56244756.95611082,0.2851612616381192,,,-40.0%,-29.8%,80112387.99285492,0.27152809873580075,0.3,54979955.58271296,0.27152809873580075,,,-41.6%,-33.6%,128178268.88924643,,0.9,98252518.35203242,,,,-38.2%,-27.0%,122358614.19878836,,1.5,95514257.0485614,,,,-35.9%,-21.0%,62664310.407607034,,1.6,49120639.64888437,,,,-38.0%,-24.8%,65513958.48163941,,0.1,47490181.853365384,,,,-40.0%,-29.9%,61179307.09939418,,1.5,47302803.38869776,,,,-35.4%,-19.2%,61179307.09939418,,1.5,47757128.52428061,,,,-35.9%,-21.0%
1752,Rouen,,0.0,2.5,42161945.30747096,0.0,,,30.0%,25.3%,,0.0,3.3,22298614.347816892,0.0,,,53.9%,47.8%,,0.0,1.3,20181036.43794371,0.0,,,6.6%,3.6%,,,2.0,31521492.97044888,,,,97.5%,93.3%,,,3.1,25794704.854406856,,,,157.2%,145.3%,,,3.0,16625889.599042216,,,,126.8%,119.7%,,,0.1,15383383.698898392,,,,71.2%,70.8%,,,3.1,12897352.427203495,,,,157.2%,145.3%,,,3.1,12897352.427203495,,,,157.2%,145.3%
1752,Bordeaux,92987045.60543497,0.1692476881347838,3.7,52779889.01530614,0.1692476881347838,,,-49.2%,-57.2%,26313651.377653953,0.10344585026707853,4.2,19003719.485042114,0.10344585026707853,,,-38.5%,-53.8%,66673394.22778101,0.22597878336302404,3.2,33537836.27275435,0.22597878336302404,,,-56.9%,-60.6%,57185673.23863686,,2.2,32307556.266956586,,,,-53.2%,-55.5%,26708037.430537343,,3.0,12518709.62666699,,,,-46.2%,-38.5%,16084385.291098023,,2.9,9485320.377114981,,,,-47.7%,-40.4%,41101287.94753884,,1.9,22542417.60232049,,,,-53.5%,-55.1%,13354018.715268672,,3.0,6397968.79921665,,,,-47.0%,-41.8%,13354018.715268672,,3.0,6259354.813333572,,,,-46.2%,-38.5%
1752,Nantes,,0.0,1.2,28529904.465305164,0.0,,,-41.9%,-38.6%,,0.0,1.1,12420544.84515239,0.0,,,-48.6%,-46.3%,19488858.359375674,0.06605436174645746,0.6,14975403.107734887,0.06605436174645746,,,-24.4%,13.7%,,,0.6,18075310.422616266,,,,-23.1%,6.9%,,,-0.2,9566555.28012457,,,,-30.2%,53.9%,,,0.0,6834076.958670305,,,,-34.6%,31.5%,11292195.219725495,,0.6,10002791.89043477,,,,-6.7%,42.0%,,,-0.1,4789870.775279177,,,,-31.5%,56.8%,,,-0.2,4783277.640062293,,,,-30.2%,53.9%
1752,Bayonne,16041652.941921154,0.02919775175782141,0.1,17833987.356508385,0.02919775175782141,,,22.6%,40.3%,6549367.101444945,0.025747276149426897,0.3,6302369.946690484,0.025747276149426897,,,13.4%,23.8%,9492285.84047621,0.032172581438355614,-0.4,12177452.721585495,0.032172581438355614,,,29.2%,49.7%,13639866.063100826,,0.3,15376658.400468208,,,,31.5%,49.0%,11470318.40199323,,0.5,10118493.353100473,,,,29.0%,37.4%,5735159.200996615,,0.4,5219789.136792827,,,,28.9%,36.9%,7904706.86210421,,0.2,10248312.484015163,,,,31.3%,52.7%,5735159.200996615,,0.5,5062669.218355796,,,,30.1%,37.3%,5735159.200996615,,0.5,5059246.676550236,,,,29.0%,37.4%
1752,La Rochelle,19547146.65377506,0.035578174994621375,-0.7,15559159.896649405,0.035578174994621375,,,47.4%,42.5%,9562134.84912517,0.0375912546548455,-0.5,6703167.753010611,0.0375912546548455,,,149.9%,144.1%,9985011.80464989,0.03384259712009732,-0.8,8704271.621156255,0.03384259712009732,,,-0.4%,-1.6%,15876864.524760608,,-1.3,12446382.12136957,,,,44.1%,34.1%,6605259.492172438,,1.8,3425251.909608857,,,,8.1%,-17.7%,7352134.248290169,,-1.0,4599039.142775541,,,,99.7%,86.6%,8524730.27647044,,-1.4,7568588.00703652,,,,7.4%,2.2%,3302629.746086219,,1.8,1694840.9447961452,,,,9.3%,-17.2%,3302629.746086219,,1.8,1712625.9548044433,,,,8.1%,-17.7%
1742,Marseille,,0.0,1.1,101060565.08314164,0.0,,,-39.5%,-30.6%,52176220.798804566,0.29669229915642115,1.8,46981355.05222049,0.29669229915642115,,,-40.0%,-29.8%,,0.0,0.3,53478986.983655475,0.0,,,-41.6%,-33.6%,,,0.9,89849415.94829188,,,,-38.2%,-27.0%,,,1.5,82443118.6325317,,,,-35.9%,-21.0%,44357692.08332366,,1.6,41861718.224279284,,,,-38.0%,-24.8%,,,0.1,47162800.57400316,,,,-40.0%,-29.9%,40873649.58171311,,1.5,40555463.49601087,,,,-35.4%,-19.2%,,,1.5,41221559.31626592,,,,-35.9%,-21.0%
1742,Rouen,,0.0,2.5,32699582.901943095,0.0,,,30.0%,25.3%,,0.0,3.3,15995145.955063814,0.0,,,53.9%,47.8%,,0.0,1.3,17788781.55773273,0.0,,,6.6%,3.6%,,,2.0,25832585.83481475,,,,97.5%,93.3%,,,3.1,18890202.36711358,,,,157.2%,145.3%,,,3.0,12280788.04798911,,,,126.8%,119.7%,,,0.1,15217037.282723915,,,,71.2%,70.8%,,,3.1,9445101.18355684,,,,157.2%,145.3%,,,3.1,9445101.18355684,,,,157.2%,145.3%
1742,Bordeaux,52762324.439433135,0.13614507921673596,3.7,36433462.58148594,0.13614507921673596,,,-49.2%,-57.2%,19306091.253180534,0.10978120902464902,4.2,12541358.549987776,0.10978120902464902,,,-38.5%,-53.8%,33456233.1862526,0.15804714754216576,3.2,24428981.47673444,0.15804714754216576,,,-56.9%,-60.6%,34951524.60524519,,2.2,25830973.737462133,,,,-53.2%,-55.5%,13994372.04023882,,3.0,9297603.915999865,,,,-46.2%,-38.5%,10343686.270788385,,2.9,7080270.378888112,,,,-47.7%,-40.4%,24607838.3344568,,1.9,18661830.85960899,,,,-53.5%,-55.1%,6997186.02011941,,3.0,4718548.831959281,,,,-47.0%,-41.8%,6997186.02011941,,3.0,4648801.95799999,,,,-46.2%,-38.5%
1742,Nantes,58012489.230124384,0.1496923235605687,1.2,25354345.06729807,0.1496923235605687,,,-41.9%,-38.6%,36260581.93065923,0.2061903920416473,1.1,11154690.772905082,0.2061903920416473,,,-48.6%,-46.3%,21751907.29946516,0.10275594634768116,0.6,14095895.456653412,0.10275594634768116,,,-24.4%,13.7%,38714571.657846995,,0.6,17101265.434271403,,,,-23.1%,6.9%,46371799.018207245,,-0.2,9758734.741645494,,,,-30.2%,53.9%,25612612.794653192,,0.0,6818551.506408441,,,,-34.6%,31.5%,13101958.8631938,,0.6,9407992.258115225,,,,-6.7%,42.0%,23185899.509103622,,-0.1,4861372.137332873,,,,-31.5%,56.8%,23185899.509103622,,-0.2,4879367.370822738,,,,-30.2%,53.9%
1742,Bayonne,,0.0,0.1,17661438.71107684,0.0,,,22.6%,40.3%,,0.0,0.3,6132971.2464854745,0.0,,,13.4%,23.8%,,0.0,-0.4,12677009.873756537,0.0,,,29.2%,49.7%,,,0.3,14881010.428124215,,,,31.5%,49.0%,,,0.5,9617514.439291934,,,,29.0%,37.4%,,,0.4,5018734.00786677,,,,28.9%,36.9%,,,0.2,10094014.022221545,,,,31.3%,52.7%,,,0.5,4831738.538345059,,,,30.1%,37.3%,,,0.5,4808757.219645975,,,,29.0%,37.4%
1742,La Rochelle,,0.0,-0.7,16743802.066865262,0.0,,,47.4%,42.5%,,0.0,-0.5,7068411.00294748,0.0,,,149.9%,144.1%,,0.0,-0.8,9454156.365827926,0.0,,,-0.4%,-1.6%,,,-1.3,14134998.842732115,,,,44.1%,34.1%,,,1.8,2848620.05293216,,,,8.1%,-17.7%,,,-1.0,5063727.537765816,,,,99.7%,86.6%,,,-1.4,8671061.785792515,,,,7.4%,2.2%,,,1.8,1412123.4024945952,,,,9.3%,-17.2%,,,1.8,1424310.0264660926,,,,8.1%,-17.7%
1762,Marseille,91016133.9788189,0.26937428234471167,1.1,126729037.71574524,0.26937428234471167,182853827.62657243,128086211.23567891,-39.5%,-30.6%,58356347.29573249,0.4162442137595927,1.8,67334641.18980262,0.4162442137595927,97430777.83477102,65765591.299879916,-40.0%,-29.8%,32659786.683086395,0.16521339150133726,0.3,56523051.13410118,0.16521339150133726,79956861.620314,57788367.86121784,-41.6%,-33.6%,83512926.84020145,,0.9,107441514.90168874,,157643389.61980617,104145575.32830536,-38.2%,-27.0%,104288919.3101953,,1.5,110657789.89028613,,182732380.68259132,103320641.67319992,-35.9%,-21.0%,52798052.65510065,,1.6,57638275.29936751,,84009614.70777196,51568667.47874629,-38.0%,-24.8%,30714874.185100805,,0.1,47819835.65473165,,67180047.26231286,46982823.27483692,-40.0%,-29.9%,52144459.65509765,,1.5,55172719.420402616,,82864059.0109073,45845965.78151331,-35.4%,-19.2%,52144459.65509765,,1.5,55328894.94514316,,91366190.34129548,51660320.8365995,-35.9%,-21.0%
1762,Rouen,,0.0,2.5,54362455.85886483,0.0,36467300.542462386,36467300.542462386,30.0%,25.3%,,0.0,3.3,31086193.475793235,0.0,15071634.416163156,15071634.416163156,53.9%,47.8%,,0.0,1.3,22895004.381712183,0.0,23011947.066501983,23011947.066501983,6.6%,3.6%,,,2.0,38463223.36600816,,18295718.552034076,18295718.552034076,97.5%,93.3%,,,3.1,35222851.804082,,10397579.847890459,10397579.847890459,157.2%,145.3%,,,3.0,22508344.243006617,,7661150.24855807,7661150.24855807,126.8%,119.7%,,,0.1,15551548.545931702,,11426949.070002558,11426949.070002558,71.2%,70.8%,,,3.1,17611425.902040966,,5198789.923945219,5198789.923945219,157.2%,145.3%,,,3.1,17611425.902040966,,5198789.923945219,5198789.923945219,157.2%,145.3%
1762,Bordeaux,33747414.055872545,0.0998799338632211,3.7,76460387.98090042,0.0998799338632211,148463315.31931362,188668762.62064198,-49.2%,-57.2%,8980650.366498956,0.06405719213214911,4.2,28796031.373054177,0.06405719213214911,42635694.96261548,33539390.616728876,-38.5%,-53.8%,24766763.68937359,0.1252856016892668,3.2,46043117.39027221,0.1252856016892668,104681109.04113433,172501081.12841737,-56.9%,-60.6%,28325568.2249012,,2.2,40408007.94237203,,75435996.32097644,89957894.60779068,-53.2%,-55.5%,6058120.533132494,,3.0,16855750.377483282,,24644373.64914662,10904777.835519282,-46.2%,-38.5%,5192312.342161527,,2.9,12707325.828232257,,15628073.886994328,7695786.162349454,-47.7%,-40.4%,23133255.88273967,,1.9,27229943.041507974,,57954808.63822073,99111763.79442379,-53.5%,-55.1%,3029060.266566247,,3.0,8675125.809549531,,12451227.102048958,5452388.9177595535,-47.0%,-41.8%,3029060.266566247,,3.0,8427875.188741745,,12322186.824573288,5452388.9177595535,-46.2%,-38.5%
1762,Nantes,5938902.33993963,0.01757696669591422,1.2,32103193.619829528,0.01757696669591422,26427862.808711413,21302893.94157235,-41.9%,-38.6%,1557436.64375888,0.011108885687730512,1.1,13830050.280296886,0.011108885687730512,14209518.436152332,10293181.047618628,-48.6%,-46.3%,4381465.69618075,0.02216416213727646,0.6,15909787.280190114,0.02216416213727646,16561325.221866187,19440275.73272309,-24.4%,13.7%,5173412.64467358,,0.6,19104834.559154496,,11873550.924048897,7015456.287049794,-23.1%,6.9%,1863709.5964669,,-0.2,9378160.42249017,,6589666.826356262,1128317.574236423,-30.2%,53.9%,931854.79823345,,0.0,6849637.761500059,,5141343.087163501,1315306.339448622,-34.6%,31.5%,4241557.84644013,,0.6,10635196.422174022,,8727802.333007133,13999009.256193846,-6.7%,42.0%,931854.79823345,,-0.1,4719421.059680653,,3294833.413178078,564158.7871182105,-31.5%,56.8%,931854.79823345,,-0.2,4689080.211245085,,3294833.413178078,564158.7871182105,-30.2%,53.9%
1762,Bayonne,25897658.811758347,0.07664754535112514,0.1,18008221.766929317,0.07664754535112514,18069150.24073928,18069150.24073928,22.6%,40.3%,10309375.272833947,0.07353472250493585,0.3,6476447.605670589,0.07353472250493585,6578779.264683254,6578779.264683254,13.4%,23.8%,15588283.538924398,0.07885517490179729,-0.4,11697581.39050085,0.07885517490179729,11621221.42773093,11621221.42773093,29.2%,49.7%,23933280.856935844,,0.3,15888815.124934597,,15049809.959321465,15049809.959321465,31.5%,49.0%,16314871.413473254,,0.5,10645568.393269416,,8188742.370332776,8188742.370332776,29.0%,37.4%,9150501.706736628,,0.4,5428898.720249463,,4493860.640866947,4493860.640866947,28.9%,36.9%,14782779.150199218,,0.2,10404969.57293764,,11044922.76536962,11044922.76536962,31.3%,52.7%,8157435.706736627,,0.5,5304637.122038095,,4094371.1851664092,4094371.1851664092,30.1%,37.3%,8157435.706736627,,0.5,5322784.196634699,,4094371.1851664092,4094371.1851664092,29.0%,37.4%
